dataset_type,train_number,train_type,station_sequence,current_delay,current_speed,distance_to_next_station,distance_from_origin,journey_time,station_halt_duration,time_of_day,day_of_week,signal_status,signal_waiting_time,block_status,track_occupancy,section_restriction,construction_active,maintenance_active,engineering_block,temporary_speed_restriction,affected_section,restriction_duration,congestion_level,preceding_train_delay,train_density,previous_station_delay,temperature,humidity,precipitation,rain,showers,weather_code,cloud_cover,visibility,wind_speed,wind_direction,wind_gusts,weather_impact,actual_additional_delay_minutes
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43219,EMU Local,12,1.5,34.5,2.1,22.549999999999997,42.1,1.0,8,5,Normal,0.1,Clear,0.49,0,0,0,0,0,0,0,0.73,4.0,5,0.5,35.0,71.8,0.0,0.0,0.0,0,32.4,5539.0,22.7,65,32.5,1,4.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43511,MEMU,21,1.5,45.5,2.4,41.0,75.3,0.5,10,4,Normal,0.0,Clear,0.23,0,0,1,0,20,1,80,0.75,1.8,4,1.1,30.4,72.2,0.0,0.0,0.0,0,42.8,7370.0,5.1,211,6.7,0,8.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43209,EMU Local,20,4.0,65.9,1.4,38.949999999999996,74.1,1.0,7,6,Normal,0.3,Clear,0.1,0,0,0,0,0,0,0,0.49,2.0,2,1.6,25.8,49.1,0.0,0.0,0.0,0,40.8,5241.0,9.1,315,13.2,0,3.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43209,EMU Local,15,0.4,67.3,2.0,28.699999999999996,52.1,1.0,5,2,Normal,0.1,Clear,0.33,0,0,1,0,20,1,32,0.21,0.8,1,1.2,31.2,81.9,0.0,0.0,0.0,0,19.3,7124.0,21.1,142,35.9,1,8.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43237,EMU Local,16,4.0,26.6,1.8,30.749999999999996,59.4,1.0,22,1,Normal,0.2,Clear,0.45,0,1,0,0,20,1,56,0.05,0.5,1,4.0,36.7,87.6,0.0,0.0,0.0,2,16.3,5090.0,28.9,92,41.1,1,8.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43223,EMU Local,5,0.4,63.9,2.7,8.2,15.2,1.5,5,6,Normal,0.2,Clear,0.23,0,0,0,0,0,0,0,0.32,2.2,1,1.8,23.2,84.3,2.8,0.8,0.0,61,74.1,5748.0,6.6,198,9.4,0,0.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43401,MEMU,21,0.4,12.8,3.2,41.0,74.2,1.0,19,1,Warning,6.0,Occupied,0.76,0,0,0,0,0,0,0,0.71,1.0,3,0.3,34.4,65.6,4.4,1.2,0.0,61,72.9,7304.0,22.8,35,27.5,0,8.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43207,EMU Local,15,5.2,33.2,1.6,28.699999999999996,56.9,1.5,15,2,Warning,2.8,Occupied,0.64,0,0,0,0,0,0,0,0.51,1.2,1,3.0,32.1,83.7,0.0,0.0,0.0,0,40.8,8733.0,20.1,47,32.2,1,7.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43237,EMU Local,17,1.6,37.5,2.9,32.8,60.6,1.0,18,0,Normal,0.0,Clear,0.34,0,0,0,0,0,0,0,0.76,1.7,4,2.0,41.9,77.2,0.0,0.0,0.0,0,40.7,7531.0,9.7,219,16.2,0,2.9
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43203,EMU Local,18,15.2,45.8,1.2,34.849999999999994,77.9,0.5,13,0,Warning,3.7,Occupied,0.73,0,0,0,0,0,0,0,0.05,0.1,2,14.4,40.7,61.6,14.8,13.8,2.3,63,71.6,7654.0,18.8,344,30.4,1,6.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43227,EMU Local,5,0.2,43.6,2.2,8.2,15.0,1.0,9,6,Normal,0.2,Clear,0.24,0,0,0,0,0,0,0,0.88,3.0,5,1.5,24.4,68.4,13.5,11.3,2.9,63,76.6,6899.0,16.7,183,21.6,1,4.9
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43223,MEMU,13,2.4,47.5,2.3,24.599999999999998,46.7,0.5,16,1,Normal,0.6,Clear,0.24,0,0,1,0,15,1,100,0.28,0.3,2,2.1,37.0,70.8,0.0,0.0,0.0,0,38.7,8022.0,32.0,236,49.2,2,14.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43201,Fast Local,19,0.5,39.3,1.2,36.9,66.9,0.5,9,3,Warning,5.9,Occupied,0.65,0,0,0,0,0,0,0,0.59,0.4,1,2.9,29.9,44.0,0.0,0.0,0.0,0,60.0,9102.0,11.5,196,15.9,0,7.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43237,Fast Local,13,1.7,56.4,1.6,24.599999999999998,46.0,1.0,5,2,Warning,5.3,Occupied,0.87,0,0,0,0,0,0,0,0.26,0.1,2,0.6,30.7,74.3,9.600000000000001,9.3,3.1,63,84.2,9539.0,37.5,157,48.0,2,12.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43211,MEMU,18,25.3,52.4,1.5,34.849999999999994,88.0,1.0,17,5,Normal,0.7,Clear,0.14,0,0,0,0,0,0,0,0.87,1.0,3,25.6,29.2,58.5,0.0,0.0,0.0,0,47.9,9969.0,34.8,285,54.8,2,10.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43247,EMU Local,14,8.8,37.7,1.3,26.65,56.8,0.5,21,6,Warning,5.3,Occupied,0.68,0,0,1,0,30,1,114,0.8,1.8,5,9.5,28.7,59.3,0.0,0.0,0.0,0,22.8,8760.0,29.1,97,37.4,1,13.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43503,EMU Local,4,0.2,54.6,1.0,6.1499999999999995,11.3,0.5,9,0,Normal,0.1,Clear,0.37,0,0,0,0,0,0,0,0.51,0.2,2,0.0,36.8,73.9,0.0,0.0,0.0,0,35.9,5571.0,31.4,49,37.8,1,4.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43201,EMU Local,4,3.3,73.0,2.0,6.1499999999999995,14.4,0.5,22,5,Warning,3.9,Occupied,0.85,0,0,0,0,0,0,0,0.26,1.0,2,1.7,22.1,67.9,7.3,6.1,3.7,63,73.2,5732.0,8.2,112,10.8,1,7.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43251,EMU Local,20,4.2,31.9,2.0,38.949999999999996,74.3,1.5,17,0,Normal,0.0,Clear,0.47,0,1,0,0,15,1,26,0.93,6.6,5,4.0,28.8,60.0,5.199999999999999,3.3,0.0,61,84.2,7491.0,30.4,144,37.2,1,15.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,MEMU,20,0.9,67.1,2.0,38.949999999999996,71.0,0.5,16,0,Warning,2.3,Occupied,0.85,0,0,0,0,0,0,0,0.08,0.2,1,0.0,34.2,73.8,9.5,9.2,1.7,63,85.0,8377.0,11.6,132,18.3,1,6.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43223,EMU Local,19,0.6,33.2,2.6,36.9,67.0,1.0,11,4,Normal,0.8,Clear,0.35,0,0,0,0,0,0,0,0.16,1.2,2,0.0,23.3,61.7,0.0,0.0,0.0,0,48.9,5641.0,34.2,230,41.9,1,4.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43501,Fast Local,13,9.4,63.2,1.0,24.599999999999998,53.7,1.0,8,6,Normal,0.1,Clear,0.34,0,0,0,0,0,0,0,0.68,0.4,1,9.2,30.6,61.7,0.0,0.0,0.0,0,51.2,6991.0,18.2,333,22.7,0,0.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43211,EMU Local,12,13.9,33.8,1.9,22.549999999999997,54.5,0.5,16,5,Normal,0.6,Clear,0.39,0,0,0,0,0,0,0,0.23,0.1,1,15.1,26.7,86.1,0.0,0.0,0.0,2,19.0,7914.0,27.7,319,35.5,1,3.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,EMU Local,7,19.3,53.5,3.6,12.299999999999999,41.4,0.5,9,3,Normal,1.0,Clear,0.15,0,0,0,0,0,0,0,0.91,5.4,5,19.6,32.4,73.9,0.0,0.0,0.0,0,16.5,6002.0,30.5,264,38.1,1,7.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43227,EMU Local,12,6.2,44.7,2.6,22.549999999999997,46.8,0.5,22,0,Normal,1.6,Clear,0.46,0,1,0,1,20,1,96,0.22,2.8,1,5.7,31.7,76.0,0.0,0.0,0.0,0,57.4,8495.0,21.9,192,31.4,1,11.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43245,Fast Local,21,4.4,15.2,2.6,41.0,78.2,1.0,14,3,Warning,4.4,Occupied,1.0,0,0,0,1,0,1,100,0.23,0.3,1,3.8,35.2,90.8,0.0,0.0,0.0,2,46.1,6693.0,18.9,18,28.7,0,8.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43211,EMU Local,4,1.7,70.7,1.5,6.1499999999999995,12.8,1.0,19,1,Warning,6.5,Occupied,0.64,0,0,0,0,0,0,0,0.79,3.0,4,1.0,22.2,69.2,0.0,0.0,0.0,0,17.0,6357.0,18.9,32,25.9,0,9.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43423,EMU Local,2,0.8,28.6,2.0,2.05,4.5,1.0,8,1,Normal,0.3,Clear,0.35,0,0,1,0,30,1,82,0.69,2.6,1,1.9,33.2,64.4,0.0,0.0,0.0,0,14.1,5365.0,33.7,122,45.9,2,10.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43217,EMU Local,2,0.3,23.0,1.0,2.05,4.0,1.0,15,4,Warning,4.6,Occupied,0.91,0,0,0,0,0,0,0,0.22,0.9,1,0.0,28.5,64.6,0.0,0.0,0.0,0,29.3,8413.0,37.2,327,51.8,2,12.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43239,EMU Local,5,4.7,32.4,2.5,8.2,19.5,0.5,20,3,Normal,0.4,Clear,0.12,0,0,0,0,0,0,0,0.65,1.9,2,3.7,37.3,94.2,0.0,0.0,0.0,2,15.6,6085.0,28.2,1,43.7,1,3.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43239,EMU Local,10,6.1,75.0,2.9,18.45,39.3,0.5,5,2,Normal,0.5,Clear,0.16,0,0,0,0,0,0,0,0.56,0.6,1,4.3,29.7,70.9,0.0,0.0,0.0,0,45.5,5594.0,20.3,197,24.8,0,1.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43249,MEMU,10,7.0,23.2,1.2,18.45,40.2,1.5,13,4,Warning,6.3,Occupied,0.74,0,1,0,0,20,1,23,0.1,0.0,2,7.7,28.2,60.8,0.0,0.0,0.0,0,19.1,6517.0,12.8,37,21.7,0,9.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43505,EMU Local,9,9.8,44.7,1.4,16.4,39.3,1.0,18,0,Normal,0.4,Clear,0.45,0,0,0,0,0,0,0,0.81,0.0,4,11.6,29.3,73.6,0.0,0.0,0.0,0,34.7,8648.0,21.7,156,36.5,1,2.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43251,EMU Local,13,8.5,25.2,2.1,24.599999999999998,52.8,1.0,22,1,Warning,3.3,Occupied,0.69,0,1,1,0,20,1,83,0.19,0.1,1,9.2,33.8,64.5,0.0,0.0,0.0,0,28.3,6414.0,9.4,173,13.6,0,9.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,EMU Local,7,33.0,27.7,2.2,12.299999999999999,55.1,1.0,23,6,Warning,4.7,Occupied,0.72,0,0,0,0,0,0,0,0.28,0.1,1,33.8,34.3,67.1,0.0,0.0,0.0,0,41.1,5151.0,34.2,59,42.7,1,6.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,EMU Local,5,1.1,18.0,1.8,8.2,15.9,0.5,20,1,Normal,1.5,Clear,0.22,0,0,0,0,0,0,0,0.58,0.1,1,0.5,31.4,91.5,0.0,0.0,0.0,2,56.3,8042.0,32.5,6,48.0,2,6.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43215,MEMU,10,5.8,46.7,1.6,18.45,39.0,0.5,22,2,Normal,0.3,Clear,0.46,0,0,0,0,0,0,0,0.1,0.0,1,6.4,27.6,73.5,0.0,0.0,0.0,0,31.0,7902.0,30.6,213,48.7,2,5.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43409,EMU Local,10,3.5,39.6,1.6,18.45,36.7,1.0,22,4,Normal,0.1,Clear,0.19,0,0,0,0,0,0,0,0.28,0.0,2,2.6,26.8,56.7,7.2,7.2,3.6,63,86.6,9342.0,9.0,171,13.6,1,1.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43247,EMU Local,6,1.2,25.0,2.1,10.25,19.6,1.5,16,3,Critical,12.6,Restricted,0.92,1,1,0,0,30,1,94,0.26,0.7,1,0.5,34.2,66.7,0.0,0.0,0.0,0,53.3,5827.0,22.2,320,35.5,1,23.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43247,EMU Local,19,16.0,55.1,2.5,36.9,82.4,0.5,16,6,Normal,0.2,Clear,0.2,0,0,0,0,0,0,0,0.15,0.0,2,16.0,33.6,49.8,0.0,0.0,0.0,0,41.6,9742.0,19.9,169,26.6,0,0.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43409,Fast Local,21,9.1,56.7,2.1,41.0,82.9,0.5,19,1,Normal,0.8,Clear,0.4,0,0,0,0,0,0,0,0.77,15.0,3,9.2,33.1,62.9,8.0,7.6,1.5,63,96.5,5251.0,12.6,359,16.1,1,10.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43247,MEMU,8,0.6,48.1,2.0,14.349999999999998,26.4,0.5,6,0,Normal,0.0,Clear,0.27,0,1,0,0,15,1,53,0.72,1.8,3,2.8,37.8,84.0,0.0,0.0,0.0,0,11.4,7841.0,26.9,314,38.5,1,11.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43219,EMU Local,1,0.1,59.6,1.0,0.0,0.1,0.5,7,2,Normal,0.2,Clear,0.15,0,0,0,0,0,0,0,0.43,3.5,2,1.1,28.3,63.3,0.0,0.0,0.0,0,56.6,8903.0,35.0,117,44.2,1,3.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43211,EMU Local,17,4.7,36.8,2.6,32.8,63.7,1.0,10,2,Warning,5.8,Occupied,0.75,0,0,0,0,0,0,0,0.41,1.0,2,4.8,39.4,98.0,0.0,0.0,0.0,2,20.1,8816.0,23.9,348,38.5,1,11.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43511,EMU Local,7,3.7,46.8,2.1,12.299999999999999,25.8,2.0,6,5,Normal,0.0,Clear,0.37,0,0,0,0,0,0,0,0.41,0.2,2,5.8,32.8,40.6,0.0,0.0,0.0,0,55.6,8287.0,35.2,336,48.1,2,8.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43221,MEMU,14,11.0,36.8,1.8,26.65,59.0,1.0,12,2,Critical,13.8,Restricted,0.92,1,0,0,0,0,0,0,0.12,0.8,2,13.9,29.5,66.7,0.0,0.0,0.0,0,31.8,9814.0,32.9,180,51.4,2,24.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43251,EMU Local,21,1.1,19.4,2.3,41.0,74.9,1.5,11,0,Normal,0.2,Clear,0.34,0,0,0,0,0,0,0,0.06,0.1,1,1.1,31.3,73.4,6.6,5.2,2.3,63,88.8,7144.0,18.7,293,30.9,1,1.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43423,EMU Local,21,0.4,45.3,1.6,41.0,74.2,1.0,21,2,Normal,1.0,Clear,0.18,0,0,0,0,0,0,0,0.22,0.0,1,0.9,26.7,72.7,0.0,0.0,0.0,0,59.6,8290.0,6.7,298,8.7,0,1.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43203,EMU Local,17,1.2,44.4,1.9,32.8,60.2,0.5,17,3,Normal,0.4,Clear,0.28,0,0,0,0,0,0,0,0.67,0.5,2,0.0,27.4,78.8,0.0,0.0,0.0,0,35.7,5610.0,20.0,275,26.5,0,1.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43205,EMU Local,9,0.1,41.5,2.2,16.4,29.6,2.0,23,5,Critical,9.6,Restricted,0.79,1,0,0,0,0,0,0,0.23,0.7,2,0.3,31.0,68.7,0.0,0.0,0.0,0,58.7,6778.0,20.1,31,25.2,0,14.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43219,EMU Local,17,0.1,47.6,1.7,32.8,59.1,0.5,8,3,Normal,0.6,Clear,0.27,0,0,0,0,0,0,0,0.54,1.1,2,0.0,34.6,87.0,0.0,0.0,0.0,2,41.9,5588.0,17.5,217,21.1,0,2.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43403,MEMU,5,9.9,63.2,1.1,8.2,24.7,1.5,6,6,Normal,0.5,Clear,0.18,0,0,0,0,0,0,0,0.3,0.2,1,7.6,28.7,57.2,0.0,0.0,0.0,0,48.5,7840.0,12.3,178,15.1,0,0.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43223,EMU Local,20,1.7,38.9,1.0,38.949999999999996,71.8,1.0,13,4,Normal,0.8,Clear,0.28,0,0,0,0,0,0,0,0.54,1.4,2,2.9,40.1,69.1,0.0,0.0,0.0,0,13.3,9416.0,21.2,157,27.5,0,1.9
SIMULATED TRAINING DATA — PROTOTYPE ONLY,66015,EMU Local,8,2.1,27.6,2.4,14.349999999999998,27.9,0.5,14,4,Normal,0.5,Clear,0.38,0,0,0,0,0,0,0,0.17,1.8,1,2.2,31.3,58.6,0.0,0.0,0.0,0,10.7,6790.0,30.0,50,50.1,2,7.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43403,EMU Local,6,0.1,38.3,2.1,10.25,18.6,1.0,20,6,Normal,0.1,Clear,0.49,0,0,0,0,0,0,0,0.74,3.4,4,0.0,29.1,66.1,1.5,0.5,0.0,0,90.0,8480.0,21.9,235,32.5,1,4.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,66069,Fast Local,11,1.3,39.9,2.1,20.5,38.2,0.5,11,6,Normal,0.6,Clear,0.42,0,0,1,1,20,1,116,0.16,0.0,1,0.0,26.4,68.9,0.0,0.0,0.0,0,35.3,6258.0,16.1,175,25.8,0,6.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43401,EMU Local,19,6.5,56.8,1.4,36.9,72.9,0.5,12,3,Normal,0.2,Clear,0.16,0,0,0,0,0,0,0,0.83,1.1,4,5.8,29.4,79.4,0.0,0.0,0.0,0,49.9,7782.0,9.3,276,15.4,0,3.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43423,MEMU,4,3.8,43.6,2.1,6.1499999999999995,14.9,0.5,11,0,Normal,0.3,Clear,0.21,0,1,0,0,15,1,41,0.18,0.7,1,3.0,37.3,59.8,0.0,0.0,0.0,0,18.9,5724.0,27.2,278,33.3,1,12.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,EMU Local,18,5.6,24.8,1.9,34.849999999999994,68.3,1.5,23,5,Warning,2.3,Occupied,0.83,0,0,0,0,0,0,0,0.05,0.0,1,5.5,38.4,68.7,0.0,0.0,0.0,0,50.8,5050.0,33.6,25,47.8,2,9.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43213,EMU Local,1,2.4,54.1,1.7,0.0,2.4,1.0,5,4,Normal,0.2,Clear,0.15,0,0,0,0,0,0,0,0.23,0.6,2,0.3,34.0,72.3,3.0,3.0,0.0,61,99.3,9953.0,21.7,249,29.9,0,0.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,66069,EMU Local,13,1.5,51.7,2.1,24.599999999999998,45.8,0.5,7,2,Normal,0.5,Clear,0.2,0,0,0,0,0,0,0,0.55,1.5,1,2.0,31.7,73.7,0.0,0.0,0.0,0,22.7,9196.0,9.4,268,13.4,0,2.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,EMU Local,14,2.6,43.6,2.3,26.65,50.6,0.5,19,6,Normal,0.2,Clear,0.18,0,1,0,1,30,1,109,0.82,0.3,5,3.4,25.8,58.7,0.0,0.0,0.0,0,55.5,8153.0,12.6,108,15.9,0,6.9
SIMULATED TRAINING DATA — PROTOTYPE ONLY,66015,EMU Local,1,1.6,56.2,3.1,0.0,1.6,1.0,12,3,Normal,0.0,Clear,0.19,0,0,1,0,20,1,42,0.56,1.8,1,0.0,21.2,74.8,0.0,0.0,0.0,0,58.5,6330.0,28.4,49,48.0,2,17.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,MEMU,11,7.3,58.7,2.4,20.5,44.2,0.5,12,1,Normal,0.3,Clear,0.19,0,0,0,0,0,0,0,0.22,1.8,2,5.3,32.3,86.0,0.0,0.0,0.0,2,33.0,8725.0,9.5,119,14.2,0,1.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43223,EMU Local,17,1.4,36.3,2.6,32.8,60.4,1.0,8,0,Normal,0.5,Clear,0.22,0,0,0,0,0,0,0,0.54,2.0,1,2.6,29.9,85.9,0.0,0.0,0.0,2,32.6,5511.0,21.8,106,36.6,1,4.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43201,EMU Local,4,4.3,28.5,2.8,6.1499999999999995,15.4,1.0,6,0,Normal,0.3,Clear,0.15,0,0,0,0,0,0,0,0.69,6.0,2,4.1,29.3,68.7,0.0,0.0,0.0,0,38.6,8163.0,6.0,357,8.6,0,4.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43221,EMU Local,12,0.6,41.8,1.6,22.549999999999997,41.2,0.5,17,3,Normal,0.2,Clear,0.21,0,1,0,0,30,1,65,0.88,2.9,3,1.4,33.1,78.2,0.0,0.0,0.0,0,45.8,9019.0,14.8,147,20.0,0,8.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,Fast Local,10,4.6,50.0,1.9,18.45,37.8,0.5,18,1,Normal,0.9,Clear,0.38,0,0,0,0,0,0,0,0.81,4.0,3,4.7,26.1,70.1,0.0,0.0,0.0,0,45.1,8366.0,10.9,344,16.9,0,3.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43409,MEMU,6,9.8,40.4,1.6,10.25,28.2,1.0,9,0,Critical,8.2,Restricted,0.85,1,0,0,0,0,0,0,0.55,4.3,2,9.7,37.3,84.8,0.0,0.0,0.0,0,36.6,8806.0,19.3,209,25.2,0,14.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,EMU Local,1,3.8,27.2,1.7,0.0,3.8,0.5,19,5,Critical,10.7,Restricted,0.89,1,0,0,0,0,0,0,0.45,1.0,2,5.0,39.0,80.1,0.0,0.0,0.0,0,55.9,5370.0,26.7,251,43.0,1,19.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43403,Fast Local,7,3.3,44.4,1.8,12.299999999999999,25.4,0.5,13,4,Warning,6.9,Occupied,0.93,0,0,0,0,0,0,0,0.05,0.0,1,4.3,34.3,58.1,0.0,0.0,0.0,0,18.1,5199.0,17.4,76,29.2,0,6.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43211,EMU Local,21,13.0,11.5,1.7,41.0,86.8,0.5,17,5,Normal,1.3,Clear,0.3,0,0,0,1,0,1,107,0.77,0.3,3,13.5,30.3,70.2,0.0,0.0,0.0,0,20.0,7158.0,27.1,274,37.7,1,8.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43245,EMU Local,16,3.9,37.1,2.2,30.749999999999996,59.2,0.5,15,1,Normal,0.3,Clear,0.44,0,0,0,0,0,0,0,0.17,1.8,2,4.4,29.1,64.1,3.1999999999999997,0.3,0.0,0,76.4,8958.0,20.7,192,29.4,0,0.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43207,MEMU,14,1.2,54.8,2.4,26.65,49.2,1.5,12,5,Warning,4.7,Occupied,0.97,0,0,0,0,0,0,0,0.4,1.1,1,0.7,30.3,70.9,0.0,0.0,0.0,0,47.1,6503.0,30.2,294,38.3,1,7.9
